year,synch,asynch,ns,interval,obs
1936,0.125,0,0.875,xlong,8
1937,0.25,0,0.75,xlong,8
1938,0.25,0,0.75,xlong,8
1939,0.25,0,0.75,xlong,8
1940,0.25,0,0.75,xlong,8
1941,0.25,0,0.75,xlong,8
1942,0.25,0,0.75,xlong,8
1943,0.25,0,0.75,xlong,8
1944,0.25,0,0.75,xlong,8
1945,0.25,0,0.75,xlong,8
1946,0.25,0,0.75,xlong,8
1947,0.25,0,0.75,xlong,8
1948,0.25,0,0.75,xlong,8
1949,0.25,0,0.75,xlong,8
1950,0.25,0.125,0.625,xlong,8
1951,0.25,0.125,0.625,xlong,8
1952,0.25,0.125,0.625,xlong,8
1953,0.25,0.125,0.625,xlong,8
1954,0.25,0.125,0.625,xlong,8
1955,0.25,0,0.75,xlong,8
1956,0.25,0,0.75,xlong,8
1957,0.25,0,0.75,xlong,8
1958,0.375,0,0.625,xlong,8
1959,0.375,0,0.625,xlong,8
1960,0.375,0,0.625,xlong,8
1961,0.375,0,0.625,xlong,8
1962,0.375,0,0.625,xlong,8
1963,0.375,0,0.625,xlong,8
1964,0.375,0,0.625,xlong,8
1965,0.375,0,0.625,xlong,8
1966,0.5,0,0.5,xlong,8
1967,0.5,0,0.5,xlong,8
1968,0.5,0,0.5,xlong,8
1969,0.625,0,0.375,xlong,8
1970,0.625,0,0.375,xlong,8
1971,0.625,0,0.375,xlong,8
1972,0.625,0,0.375,xlong,8
1973,0.75,0,0.25,xlong,8
1974,0.75,0,0.25,xlong,8
1975,0.75,0,0.25,xlong,8
1976,0.75,0,0.25,xlong,8
1977,0.75,0,0.25,xlong,8
1978,0.75,0,0.25,xlong,8
1979,0.75,0,0.25,xlong,8
1980,0.75,0,0.25,xlong,8
1981,0.75,0,0.25,xlong,8
1982,0.75,0,0.25,xlong,8
1983,0.75,0,0.25,xlong,8
1984,0.714285714285714,0,0.285714285714286,xlong,7
1985,0.857142857142857,0,0.142857142857143,xlong,7
1986,1,0,0,xlong,6
1987,1,0,0,xlong,5
1988,1,0,0,xlong,5
1989,1,0,0,xlong,4
1990,1,0,0,xlong,3
1991,1,0,0,xlong,2
1992,1,0,0,xlong,2
1993,1,0,0,xlong,1
